lat,lon,alt,date,device,os,version
40.73185662,-73.99292705,303.6000061,9/21/13 22:03,samsung d2att,4.1.1,1
40.73173934,-73.99431625,298.8999939,9/21/13 22:13,samsung d2att,4.1.1,1
40.72704578,-73.99665479,7.699999809,9/21/13 22:22,samsung d2att,4.1.1,1
40.72935712,-73.99749493,54.5,9/21/13 22:32,samsung d2att,4.1.1,1
40.73066843,-73.99234882,27.70000076,9/21/13 22:53,samsung d2att,4.1.1,1
40.73577974,-73.99143531,36.90000153,9/21/13 23:02,samsung d2att,4.1.1,1
40.7337312,-73.99256545,23.79999924,9/21/13 23:42,samsung d2att,4.1.1,1
40.72984682,-73.99306643,2.700000048,9/21/13 23:52,samsung d2att,4.1.1,1
40.7778492,-73.919743,0,9/22/13 1:14,samsung d2att,4.1.1,1
40.7764923,-73.9146947,0,9/22/13 4:24,samsung d2att,4.1.1,1
40.7778431,-73.9197701,0,9/22/13 4:34,samsung d2att,4.1.1,1
40.7777983,-73.9195166,0,9/22/13 15:13,samsung d2att,4.1.1,1
40.7764923,-73.9146947,0,9/22/13 16:53,samsung d2att,4.1.1,1
40.774835,-73.9136871,0,9/22/13 17:03,samsung d2att,4.1.1,1
40.7711982,-73.9154483,0,9/22/13 17:23,samsung d2att,4.1.1,1
40.7748594,-73.9136735,0,9/22/13 17:33,samsung d2att,4.1.1,1
40.7495826,-73.9400408,0,9/22/13 17:53,samsung d2att,4.1.1,1
40.7434794,-73.9107004,0,9/22/13 18:03,samsung d2att,4.1.1,1
40.748238,-73.8784179,0,9/22/13 18:13,samsung d2att,4.1.1,1
40.7438649,-73.8472891,0,9/22/13 18:23,samsung d2att,4.1.1,1
40.7473746,-73.8528057,0,9/22/13 18:33,samsung d2att,4.1.1,1
40.7475492,-73.8513302,0,9/22/13 18:43,samsung d2att,4.1.1,1
40.7472604,-73.8522418,0,9/22/13 20:44,samsung d2att,4.1.1,1
40.7444693,-73.8519753,0,9/22/13 20:54,samsung d2att,4.1.1,1
40.7422041,-73.873848,0,9/22/13 21:04,samsung d2att,4.1.1,1
40.7419387,-73.8796251,0,9/22/13 21:14,samsung d2att,4.1.1,1
40.7422509,-73.8806998,0,9/22/13 22:34,samsung d2att,4.1.1,1
40.7418977,-73.8796705,0,9/23/13 0:34,samsung d2att,4.1.1,1
40.7419147,-73.8796445,0,9/23/13 0:54,samsung d2att,4.1.1,1
40.7742544,-73.91283,0,9/23/13 1:54,samsung d2att,4.1.1,1
40.7775115,-73.9173179,0,9/23/13 2:04,samsung d2att,4.1.1,1
40.7778223,-73.9197295,0,9/23/13 2:14,samsung d2att,4.1.1,1
40.7778343,-73.9197252,0,9/23/13 3:14,samsung d2att,4.1.1,1
40.7775482,-73.9173812,0,9/23/13 14:24,samsung d2att,4.1.1,1
40.7740868,-73.9129736,0,9/23/13 14:34,samsung d2att,4.1.1,1
40.7488345,-73.9372468,0,9/23/13 14:44,samsung d2att,4.1.1,1
40.7509968,-73.9813621,0,9/23/13 14:54,samsung d2att,4.1.1,1
40.7299316,-73.9937744,0,9/23/13 15:04,samsung d2att,4.1.1,1
40.7301439,-73.9943538,0,9/23/13 15:14,samsung d2att,4.1.1,1
40.7300989,-73.9939056,0,9/23/13 21:54,samsung d2att,4.1.1,1
40.7697425,-73.9137935,0,9/23/13 23:14,samsung d2att,4.1.1,1
40.7775556,-73.9173579,0,9/23/13 23:24,samsung d2att,4.1.1,1
40.7778018,-73.9197571,0,9/23/13 23:34,samsung d2att,4.1.1,1
40.7775683,-73.9173409,0,9/24/13 1:33,samsung d2att,4.1.1,1
40.7777935,-73.9197478,0,9/24/13 1:54,samsung d2att,4.1.1,1
40.7778381,-73.9197519,0,9/24/13 3:23,samsung d2att,4.1.1,1
40.7759516,-73.9149304,0,9/24/13 11:03,samsung d2att,4.1.1,1
40.7674064,-73.920756,0,9/24/13 11:13,samsung d2att,4.1.1,1
40.7472384,-73.9874275,0,9/24/13 11:33,samsung d2att,4.1.1,1
40.730089,-73.9928693,0,9/24/13 11:43,samsung d2att,4.1.1,1
40.7287873,-73.9961594,0,9/24/13 11:53,samsung d2att,4.1.1,1
40.7254074,-74.0000987,0,9/24/13 12:03,samsung d2att,4.1.1,1
40.7255332,-73.9955614,0,9/24/13 12:23,samsung d2att,4.1.1,1
40.7271928,-73.99302,0,9/24/13 12:43,samsung d2att,4.1.1,1
40.730222,-73.9926098,0,9/24/13 13:23,samsung d2att,4.1.1,1
40.7298333,-73.9940303,0,9/24/13 16:13,samsung d2att,4.1.1,1
40.7313211,-73.9967214,0,9/24/13 19:23,samsung d2att,4.1.1,1
40.7300897,-73.9928745,0,9/24/13 19:53,samsung d2att,4.1.1,1
40.7493958,-73.943949,0,9/25/13 2:33,samsung d2att,4.1.1,1
40.7696878,-73.9138071,0,9/25/13 2:43,samsung d2att,4.1.1,1
40.7741163,-73.9131715,0,9/25/13 2:53,samsung d2att,4.1.1,1
40.7778355,-73.9197612,0,9/25/13 3:03,samsung d2att,4.1.1,1
40.7758459,-73.9150298,0,9/25/13 16:12,samsung d2att,4.1.1,1
40.770182,-73.9184497,0,9/25/13 16:22,samsung d2att,4.1.1,1
40.7488582,-73.9372242,0,9/25/13 16:32,samsung d2att,4.1.1,1
40.7603699,-73.9843498,0,9/25/13 16:42,samsung d2att,4.1.1,1
40.7300897,-73.9928745,0,9/25/13 16:52,samsung d2att,4.1.1,1
40.7300914,-73.9938483,0,9/25/13 17:32,samsung d2att,4.1.1,1
40.730222,-73.9926098,0,9/25/13 20:42,samsung d2att,4.1.1,1
40.7313211,-73.9967233,0,9/25/13 20:52,samsung d2att,4.1.1,1
40.7301094,-73.9939025,0,9/25/13 21:12,samsung d2att,4.1.1,1
40.7296715,-73.9935949,0,9/26/13 1:33,samsung d2att,4.1.1,1
40.7775286,-73.9173911,0,9/26/13 2:43,samsung d2att,4.1.1,1
40.7778387,-73.9198086,0,9/26/13 2:53,samsung d2att,4.1.1,1
40.7778429,-73.9197563,0,9/26/13 3:23,samsung d2att,4.1.1,1
40.7753286,-73.9143727,0,9/26/13 11:13,samsung d2att,4.1.1,1
40.7287873,-73.9961594,0,9/26/13 12:23,samsung d2att,4.1.1,1
40.7301155,-73.999619,0,9/26/13 12:33,samsung d2att,4.1.1,1
40.7267721,-73.9970603,0,9/26/13 13:03,samsung d2att,4.1.1,1
40.7306667,-73.9953539,0,9/26/13 16:22,samsung d2att,4.1.1,1
40.7296447,-73.9935955,0,9/26/13 16:32,samsung d2att,4.1.1,1
40.7256192,-73.9967632,0,9/26/13 17:53,samsung d2att,4.1.1,1
40.7229199,-73.998594,0,9/26/13 18:02,samsung d2att,4.1.1,1
40.7224153,-74.0048791,0,9/26/13 18:12,samsung d2att,4.1.1,1
40.7224153,-74.0048791,0,9/26/13 18:32,samsung d2att,4.1.1,1
40.7228568,-74.0036775,0,9/26/13 19:02,samsung d2att,4.1.1,1
40.7229618,-74.0036545,0,9/26/13 19:43,samsung d2att,4.1.1,1
40.7219367,-74.0045629,0,9/26/13 20:12,samsung d2att,4.1.1,1
40.7224933,-74.0058275,0,9/26/13 20:32,samsung d2att,4.1.1,1
40.7229036,-74.0034929,0,9/26/13 20:42,samsung d2att,4.1.1,1
40.7219367,-74.0045629,0,9/26/13 22:02,samsung d2att,4.1.1,1
40.7227557,-74.0035841,0,9/26/13 22:12,samsung d2att,4.1.1,1
40.7249732,-74.0015301,0,9/26/13 22:32,samsung d2att,4.1.1,1
